# snapshot of daily closes taken on 2026-09-20 from Yahoo Finance, split and dividend adjusted, covering 2024-09-20 to 2026-09-18. Five hundred rows give the 499 daily returns the book reports.
Date,AAPL,MSFT,JPM,XOM,JNJ
2024-09-20,226.306885,428.500977,202.57843,108.114159,155.514954
2024-09-23,224.591232,426.768372,202.914322,110.074417,154.62442
2024-09-24,225.48378,422.49585,203.058273,109.783653,154.207611
2024-09-25,224.492065,425.390076,201.714706,107.645195,152.142426
2024-09-26,225.632538,424.602539,201.321259,105.797508,152.890793
2024-09-27,225.900284,421.363708,202.012238,108.630013,152.900284
2024-09-30,231.067078,423.608246,202.357742,109.943115,153.525513
2024-10-01,224.333435,414.147705,198.691727,112.484871,153.459213
2024-10-02,224.898682,410.643005,198.931671,113.976158,152.682388
2024-10-03,223.797867,410.062256,196.954727,114.97036,152.047699
2024-10-04,224.918503,409.589722,203.945374,117.080681,151.84874
2024-10-07,219.850906,403.171143,203.665359,117.587158,151.128769
2024-10-08,223.897049,408.260742,203.491547,114.463882,151.28035
2024-10-09,227.635788,410.967957,206.069595,114.510788,152.189758
2024-10-10,227.139923,409.373138,205.509567,115.495613,152.057129
2024-10-11,225.662277,409.845703,214.634109,115.936424,152.957123
2024-10-14,229.38118,412.621796,213.85202,116.377243,153.089752
2024-10-15,231.910004,412.228027,214.730667,112.878799,155.458099
2024-10-16,229.857193,409.648773,215.937607,113.169556,155.628586
2024-10-17,230.224121,410.239471,216.69075,112.878799,155.808624
2024-10-18,233.050476,411.657104,217.608002,112.559898,156.424362
2024-10-21,234.518204,412.267456,215.319656,112.625565,154.254974
2024-10-22,233.903381,420.861694,216.401062,113.207077,154.842316
2024-10-23,228.845657,417.996887,215.715546,112.803764,157.125397
2024-10-24,228.657242,418.124878,217.231461,112.165985,155.05072
2024-10-25,229.490265,421.49173,214.653412,112.072182,152.407684
2024-10-28,231.46376,419.955963,217.733551,111.518814,153.089752
2024-10-29,231.731506,425.232635,215.223083,109.999382,151.659241
2024-10-30,228.191132,425.803589,216.681076,109.446007,152.151886
2024-10-31,224.035889,400.030701,214.27684,109.530418,151.441391
2024-11-01,221.060791,403.988159,215.261749,107.814026,151.697159
2024-11-04,220.168228,402.10791,212.210556,111.246819,149.906693
