symbol,quarter,date,intimation,lead_days,release_time,session,first_tradable,superseded
AXISBANK,FY19Q3,2019-01-29,2018-12-20 18:36:00,40,2019-01-29 16:03:47,POST_CLOSE,2019-01-30,False
AXISBANK,FY19Q4,2019-04-25,2019-03-27 11:19:00,29,2019-04-25 16:45:48,POST_CLOSE,2019-04-26,False
AXISBANK,FY20Q1,2019-07-30,2019-07-04 11:53:00,26,2019-07-30 16:02:22,POST_CLOSE,2019-07-31,False
AXISBANK,FY20Q2,2019-10-21,2019-09-20 12:35:00,31,,UNKNOWN,,False
AXISBANK,FY20Q3,2020-01-22,2019-12-17 16:05:00,36,2020-01-22 16:20:19,POST_CLOSE,2020-01-23,False
AXISBANK,FY20Q4,2020-04-28,2020-04-23 20:15:00,5,2020-04-28 16:44:50,POST_CLOSE,2020-04-29,False
AXISBANK,FY21Q1,2020-07-21,2020-07-14 12:58:00,7,2020-07-21 16:55:47,POST_CLOSE,2020-07-22,False
AXISBANK,FY21Q2,2020-10-28,2020-09-28 13:03:00,30,2020-10-28 18:09:55,POST_CLOSE,2020-10-29,False
AXISBANK,FY21Q3,2021-01-27,2020-12-21 10:37:00,37,2021-01-27 16:41:26,POST_CLOSE,2021-01-28,False
AXISBANK,FY21Q4,2021-04-27,2021-04-12 12:22:00,15,2021-04-27 16:47:20,POST_CLOSE,2021-04-28,False
AXISBANK,FY22Q1,2021-07-26,2021-06-29 15:30:00,27,2021-07-26 17:22:09,POST_CLOSE,2021-07-27,False
AXISBANK,FY22Q2,2021-10-26,2021-09-24 15:47:00,32,2021-10-26 16:36:57,POST_CLOSE,2021-10-27,False
AXISBANK,FY22Q3,2022-01-24,2021-12-16 17:26:00,39,2022-01-24 16:40:41,POST_CLOSE,2022-01-25,False
AXISBANK,FY22Q4,2022-04-28,2022-04-08 17:17:00,20,2022-04-28 16:53:24,POST_CLOSE,2022-04-29,False
AXISBANK,FY23Q1,2022-07-25,2022-07-06 12:34:00,19,2022-07-25 16:30:06,POST_CLOSE,2022-07-26,False
AXISBANK,FY23Q2,2022-10-20,2022-10-06 13:23:00,14,2022-10-20 16:51:04,POST_CLOSE,2022-10-21,False
AXISBANK,FY23Q3,2023-01-23,2023-01-11 10:07:00,12,2023-01-23 15:48:44,POST_CLOSE,2023-01-24,False
AXISBANK,FY23Q4,2023-04-27,2023-04-05 17:55:58,22,2023-04-27 16:06:55,POST_CLOSE,2023-04-28,False
AXISBANK,FY24Q1,2023-07-26,2023-07-11 10:57:41,15,2023-07-26 16:02:05,POST_CLOSE,2023-07-27,False
AXISBANK,FY24Q2,2023-10-25,2023-10-06 15:30:02,19,2023-10-25 16:00:39,POST_CLOSE,2023-10-26,False
AXISBANK,FY24Q3,2024-01-23,2024-01-03 20:17:25,20,2024-01-23 16:01:24,POST_CLOSE,2024-01-24,False
AXISBANK,FY24Q4,2024-04-24,2024-04-18 18:21:23,6,2024-04-24 16:25:23,POST_CLOSE,2024-04-25,False
AXISBANK,FY25Q1,2024-07-24,2024-07-05 18:29:26,19,2024-07-24 15:48:22,POST_CLOSE,2024-07-25,False
AXISBANK,FY25Q2,2024-10-17,2024-10-07 17:49:50,10,2024-10-17 15:43:12,POST_CLOSE,2024-10-18,False
AXISBANK,FY25Q3,2025-01-16,2025-01-06 17:59:33,10,2025-01-16 15:42:18,POST_CLOSE,2025-01-17,False
